CharacteristicName,ResultMeasure/MeasureUnitCode,Frequency
"(1R,2S,5R)-Menthol",ug/kg,4
.alpha.-Chlordene,None,40
.alpha.-Chlordene,ng/g,129
.alpha.-Chlordene,pg/l,13
.alpha.-Chlordene,ug/g,146
.alpha.-Chlordene,ug/kg,2
.alpha.-Endosulfan,None,30
.alpha.-Endosulfan,mg/kg,20
.alpha.-Endosulfan,ng/g,12
.alpha.-Endosulfan,ug/g,10
.alpha.-Endosulfan,ug/kg,312
.alpha.-Endosulfan,ug/l,10
.alpha.-HCH-d6,%,239
.alpha.-Hexachlorocyclohexane,None,36
.alpha.-Hexachlorocyclohexane,mg/kg,20
.alpha.-Hexachlorocyclohexane,ng/g,84
.alpha.-Hexachlorocyclohexane,pg/l,13
.alpha.-Hexachlorocyclohexane,ppb,1
.alpha.-Hexachlorocyclohexane,ug/g,25
.alpha.-Hexachlorocyclohexane,ug/kg,534
.alpha.-Hexachlorocyclohexane,ug/l,6
.alpha.-Terpineol,ug/kg,238
.beta.-Endosulfan,None,4
.beta.-Endosulfan,mg/kg,20
.beta.-Endosulfan,ng/g,20
.beta.-Endosulfan,ug/g,10
.beta.-Endosulfan,ug/kg,376
.beta.-Hexachlorocyclohexane,None,12
.beta.-Hexachlorocyclohexane,mg/kg,20
.beta.-Hexachlorocyclohexane,ug/g,27
.beta.-Hexachlorocyclohexane,ug/kg,356
.beta.-Sitosterol,ug/kg,77
.beta.-Sitosterol,ug/l,28
.delta.-Hexachlorocyclohexane,None,20
.delta.-Hexachlorocyclohexane,mg/kg,20
.delta.-Hexachlorocyclohexane,ng/g,30
.delta.-Hexachlorocyclohexane,ug/g,5
.delta.-Hexachlorocyclohexane,ug/kg,322
"1,1,1,2-Tetrachloroethane",ug/kg,2
"1,1,1,2-Tetrachloroethane",ug/l,103
"1,1,1-Trichloroethane",ug/kg,32
"1,1,1-Trichloroethane",ug/l,104
"1,1,2,2-Tetrachloroethane",ug/kg,32
"1,1,2,2-Tetrachloroethane",ug/l,103
"1,1,2-Trichloroethane",ug/kg,32
"1,1,2-Trichloroethane",ug/l,104
"1,1-Dichloroethane",ug/kg,32
"1,1-Dichloroethane",ug/l,103
"1,1-Dichloroethylene",ug/kg,32
"1,1-Dichloroethylene",ug/l,104
"1,1-Dichloropropene",ug/kg,2
"1,1-Dichloropropene",ug/l,103
"1,1-Dimethylbiguanide",ng/l,4
"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin",ng/kg,384
"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin",pg/g,19
"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin",ppt,1
"1,2,3,4,6,7,8,9-Octachlorodibenzofuran",ng/kg,382
"1,2,3,4,6,7,8,9-Octachlorodibenzofuran",pg/g,15
"1,2,3,4,6,7,8,9-Octachlorodibenzofuran",ppt,1
"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",ng/kg,384
"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",pg/g,12
"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",ppt,1
"1,2,3,4,6,7,8-Heptachlorodibenzofuran",None,2
"1,2,3,4,6,7,8-Heptachlorodibenzofuran",ng/kg,382
"1,2,3,4,6,7,8-Heptachlorodibenzofuran",pg/g,13
"1,2,3,4,6,7,8-Heptachlorodibenzofuran",ppt,1
"1,2,3,4,7,8,9-Heptachlorodibenzofuran",None,26
"1,2,3,4,7,8,9-Heptachlorodibenzofuran",ng/kg,316
"1,2,3,4,7,8,9-Heptachlorodibenzofuran",pg/g,13
"1,2,3,4,7,8,9-Heptachlorodibenzofuran",ppt,1
"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",None,34
"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",ng/kg,334
"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",pg/g,17
"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",ppt,1
"1,2,3,4,7,8-Hexachlorodibenzofuran",None,54
"1,2,3,4,7,8-Hexachlorodibenzofuran",ng/kg,322
"1,2,3,4,7,8-Hexachlorodibenzofuran",pg/g,19
"1,2,3,4,7,8-Hexachlorodibenzofuran",ppt,1
"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",None,18
